Código,Nombre,Dirección Casa,Terminal Destino,Hora Presentación
C001,Juan Pérez García,Av. Insurgentes Sur 1234 Col. Del Valle CDMX,Terminal Aeropuerto T1,06:30
C002,María González López,Calle Reforma 567 Col. Juárez CDMX,Terminal Aeropuerto T1,06:30
C003,Carlos Rodríguez Sánchez,Av. Revolución 890 Col. San Ángel CDMX,Terminal Aeropuerto T1,06:30
C004,Ana Martínez Flores,Calle Juárez 432 Col. Centro CDMX,Terminal Aeropuerto T1,06:30
C005,Luis Hernández Ramírez,Av. Universidad 1230 Col. Copilco CDMX,Terminal Aeropuerto T1,06:30
C006,Carmen Sánchez Torres,Paseo de la Reforma 789 Col. Cuauhtémoc CDMX,Terminal Aeropuerto T1,06:30
C007,Jorge Ramírez Castro,Av. Chapultepec 456 Col. Roma CDMX,Terminal Aeropuerto T1,06:30
C008,Patricia Torres Morales,Calle Hidalgo 234 Col. Centro Histórico CDMX,Terminal Aeropuerto T1,06:30
C009,Roberto Flores Jiménez,Av. Cuauhtémoc 678 Col. Narvarte CDMX,Terminal Aeropuerto T1,06:30
C010,Laura Morales Ruiz,Calle Allende 901 Col. Santa María CDMX,Terminal Aeropuerto T1,06:30
