Código,Nombre,Dirección Casa,Terminal Destino,Hora Presentación
SC001,Carlos Muñoz Vega,Av. Vicuña Mackenna 4567 Macul Santiago,Terminal San Borja,05:30
SC002,María José Contreras,Calle San Diego 2890 Santiago Centro,Terminal Alameda,05:45
SC003,Andrés Silva Rojas,Av. Grecia 1234 Ñuñoa Santiago,Terminal San Borja,06:00
SC004,Patricia Fernández,Gran Avenida 8765 San Miguel Santiago,Terminal Sur,05:30
SC005,Roberto Pérez Salas,Av. La Florida 5678 La Florida Santiago,Terminal Sur,06:15
SC006,Carmen López Torres,Av. Providencia 2345 Providencia Santiago,Terminal San Borja,05:45
SC007,Jorge Ramírez Cruz,Av. Irarrázaval 3456 Ñuñoa Santiago,Terminal Alameda,06:00
SC008,Daniela Morales Díaz,Av. Macul 6789 Macul Santiago,Terminal San Borja,05:30
SC009,Luis González Muñoz,Av. Santa Rosa 4321 La Cisterna Santiago,Terminal Sur,06:30
SC010,Francisca Rojas Vidal,Calle Bandera 456 Santiago Centro,Terminal Alameda,05:45
SC011,Pedro Castillo Bravo,Av. Departamental 2345 Pudahuel Santiago,Terminal Santiago,06:00
SC012,Verónica Soto Parra,Av. Pajaritos 5678 Maipú Santiago,Terminal Santiago,05:30
SC013,Sebastián Valenzuela,Av. Pedro Aguirre Cerda 7890 Estación Central,Terminal Alameda,06:15
SC014,Isabel Vargas Leiva,Av. Las Condes 8901 Las Condes Santiago,Terminal San Borja,05:45
SC015,Miguel Ángel Torres,Av. Américo Vespucio 3456 La Florida Santiago,Terminal Sur,06:00
SC016,Claudia Herrera Sáez,Av. Apoquindo 4567 Las Condes Santiago,Terminal San Borja,05:30
SC017,Fernando Cortés Ruiz,Av. Recoleta 2345 Recoleta Santiago,Terminal Alameda,06:30
SC018,Andrea Núñez Silva,Av. Independencia 5678 Independencia Santiago,Terminal Santiago,05:45
SC019,Ricardo Espinoza Vera,Av. Quilín 6789 Peñalolén Santiago,Terminal San Borja,06:00
SC020,Mónica Gutiérrez Pino,Av. Los Pajaritos 8901 Maipú Santiago,Terminal Santiago,05:30
SC021,Pablo Campos Castro,Av. Tobalaba 3456 Providencia Santiago,Terminal San Borja,06:15
SC022,Carolina Jiménez Ortiz,Av. Larraín 4567 La Reina Santiago,Terminal San Borja,05:45
SC023,Alejandro Bustos Riquelme,Av. José Pedro Alessandri 5678 Ñuñoa Santiago,Terminal Alameda,06:00
SC024,Pamela Araya Navarro,Av. Bilbao 6789 Providencia Santiago,Terminal San Borja,05:30
SC025,Diego Pizarro Mendoza,Av. Concha y Toro 7890 Puente Alto Santiago,Terminal Sur,06:30
SC026,Lorena Acuña Flores,Av. Vicuña Mackenna 9012 La Florida Santiago,Terminal Sur,05:45
SC027,Cristián Medina Zúñiga,Av. Ossa 3456 La Reina Santiago,Terminal San Borja,06:00
SC028,Paulina Vergara Tapia,Av. El Salto 4567 Recoleta Santiago,Terminal Alameda,05:30
SC029,Héctor Jara Moreno,Av. Marathon 5678 Macul Santiago,Terminal San Borja,06:15
SC030,Soledad Bravo Peña,Av. Américo Vespucio Norte 6789 Huechuraba Santiago,Terminal Santiago,05:45
SC031,Rodrigo Henríquez Gaete,Av. Las Parcelas 7890 Renca Santiago,Terminal Santiago,06:00
SC032,Marcela Sandoval Yáñez,Av. San Pablo 8901 Quinta Normal Santiago,Terminal Alameda,05:30
SC033,Esteban Carrasco Fuentes,Av. Ecuador 9012 Estación Central Santiago,Terminal Alameda,06:30
SC034,Valentina Sepúlveda Urra,Av. Cerrillos 1234 Cerrillos Santiago,Terminal Sur,05:45
SC035,Gonzalo Alarcón Moya,Av. Observatorio 2345 Cerro Navia Santiago,Terminal Santiago,06:00
SC036,Natalia Cabrera Riveros,Av. Vicuña Mackenna Poniente 3456 San Joaquín,Terminal Sur,05:30
SC037,Mauricio Farías Arancibia,Av. Ossa 4567 Ñuñoa Santiago,Terminal San Borja,06:15
SC038,Javiera Donoso Lara,Av. Cristóbal Colón 5678 Las Condes Santiago,Terminal San Borja,05:45
SC039,Ignacio Briceño Cárdenas,Av. Príncipe de Gales 6789 La Reina Santiago,Terminal San Borja,06:00
SC040,Carla Villalobos Gómez,Av. Vicuña Mackenna 7890 Peñalolén Santiago,Terminal San Borja,05:30
